age,job,marital,education,balance,day,month,duration,campaign,pdays,previous,outcome,y
45,blue-collar,single,secondary,84062,2,aug,860,8,5,3,failure,no
45,management,married,tertiary,59902,16,aug,844,4,9,9,failure,no
61,unemployed,divorced,secondary,26317,17,may,3042,1,19,9,success,yes
47,unemployed,single,secondary,64753,10,jan,3340,1,14,2,success,yes
79,unemployed,divorced,primary,33242,18,nov,3489,6,20,6,success,no
92,student,single,primary,-1071,12,apr,1938,8,15,9,unknown,no
79,blue-collar,married,secondary,97806,8,apr,136,2,22,0,unknown,no
18,technician,divorced,secondary,96724,27,nov,3232,4,23,5,success,no
44,technician,divorced,primary,11580,26,mar,2220,3,25,1,success,no
79,blue-collar,divorced,tertiary,93967,3,aug,1153,9,3,1,unknown,yes
94,blue-collar,divorced,tertiary,18742,27,mar,4174,3,24,7,success,yes
20,student,single,tertiary,15833,20,may,978,8,5,2,failure,no
87,technician,single,secondary,94421,24,feb,568,7,8,8,failure,no
89,blue-collar,divorced,primary,69347,3,jun,2910,1,11,3,failure,no
44,blue-collar,single,tertiary,72155,6,jun,2410,8,18,5,unknown,yes
26,student,divorced,primary,87791,2,aug,3406,9,13,0,success,yes
79,student,divorced,primary,88508,3,aug,133,8,4,9,failure,yes
54,management,married,secondary,11527,17,jan,2061,1,0,9,unknown,no
68,student,divorced,tertiary,56139,9,may,4378,7,2,2,success,yes
61,admin,single,primary,96410,4,feb,2853,9,19,3,success,yes
41,technician,divorced,secondary,67585,22,oct,3730,5,12,4,failure,yes
76,management,married,secondary,39057,23,dec,3492,2,23,0,success,yes
49,admin,single,secondary,65439,2,may,126,8,27,3,success,no
69,blue-collar,married,tertiary,42261,24,oct,1795,9,23,4,failure,no
79,blue-collar,married,tertiary,68912,28,dec,1849,7,22,3,failure,yes
75,management,divorced,secondary,-1958,9,sep,4313,5,27,9,success,yes
69,student,married,tertiary,20769,14,apr,3976,8,13,9,unknown,no
29,unemployed,married,tertiary,65113,26,aug,4840,6,26,6,unknown,no
56,unemployed,single,primary,75918,11,jan,2727,4,12,7,failure,yes
19,blue-collar,married,secondary,20449,2,aug,3726,1,2,7,success,yes
20,unemployed,divorced,secondary,36653,21,jun,3560,6,4,2,failure,yes
73,retired,divorced,tertiary,26859,2,aug,259,8,5,4,unknown,no
76,management,divorced,secondary,6576,27,jun,1241,3,11,9,unknown,yes
19,admin,married,secondary,43874,5,nov,1843,7,15,7,success,no
19,management,single,secondary,75199,7,mar,1512,7,27,6,failure,yes
71,technician,divorced,tertiary,34345,22,dec,4194,9,15,8,failure,yes
18,student,married,tertiary,68780,4,nov,4277,1,2,9,unknown,no
36,student,divorced,tertiary,98438,14,aug,2216,5,17,6,failure,yes
19,management,divorced,primary,67428,2,may,2280,8,24,1,failure,yes
70,blue-collar,single,secondary,90648,23,dec,955,3,18,3,failure,yes
61,blue-collar,divorced,primary,2321,12,oct,4567,5,11,7,success,yes
49,retired,single,tertiary,3776,10,may,1108,1,27,8,unknown,yes
87,retired,married,primary,14119,25,dec,4774,9,7,6,failure,no
49,student,divorced,secondary,28569,1,jul,1542,4,0,4,success,yes
85,retired,married,secondary,36596,19,jun,380,5,28,0,failure,no
72,admin,married,tertiary,50967,23,sep,1255,3,18,8,failure,no
92,retired,married,tertiary,31063,16,jul,2298,2,21,5,unknown,no
73,admin,divorced,primary,96717,15,mar,2240,7,16,1,success,no
34,retired,single,tertiary,20340,14,nov,1658,5,22,9,failure,yes
55,student,divorced,primary,73723,9,nov,2984,3,24,9,unknown,no
41,student,married,secondary,53430,29,dec,2648,2,18,1,success,no
86,admin,single,secondary,4668,21,may,3958,6,23,9,failure,no
87,management,married,secondary,78880,23,sep,3371,6,28,0,unknown,no
28,student,single,secondary,6195,15,nov,3429,3,15,3,failure,no
33,management,divorced,secondary,80097,26,oct,1580,9,5,9,failure,no
90,blue-collar,single,primary,55995,7,feb,4860,1,15,1,success,no
76,admin,divorced,secondary,85834,4,jan,2932,3,25,9,unknown,yes
87,unemployed,married,primary,36250,21,nov,1586,1,8,8,success,yes
20,student,single,secondary,14076,18,aug,2112,7,25,1,failure,yes
37,technician,married,primary,13376,8,aug,3637,2,23,8,unknown,no
76,blue-collar,single,primary,99575,12,feb,4561,4,12,0,failure,yes
53,management,divorced,primary,53839,15,aug,4983,4,26,6,failure,no
36,student,single,tertiary,62723,15,may,2521,8,24,5,failure,yes
84,admin,single,primary,41442,17,feb,3751,4,10,5,unknown,yes
36,unemployed,divorced,primary,3392,2,jul,2702,3,27,1,failure,yes
37,retired,divorced,secondary,25106,12,jul,18,3,24,0,unknown,yes
88,unemployed,divorced,primary,77845,3,mar,2569,5,10,9,failure,no
69,technician,single,primary,22809,7,jan,783,6,15,7,success,yes
50,management,married,tertiary,-1307,6,nov,1706,7,17,7,unknown,no
57,blue-collar,single,secondary,97473,14,apr,414,5,26,1,failure,yes
56,unemployed,single,tertiary,92769,23,feb,363,7,21,3,success,yes
18,admin,married,tertiary,57821,27,apr,2575,4,12,3,unknown,no
28,technician,divorced,tertiary,72159,5,aug,1103,5,27,1,success,no
74,admin,single,primary,72710,30,feb,4891,6,15,8,failure,no
67,student,married,tertiary,9352,4,jan,1171,9,13,3,success,no
40,retired,divorced,tertiary,50196,15,nov,1698,6,19,3,failure,no
48,blue-collar,divorced,secondary,69066,7,mar,442,1,4,3,failure,yes
59,admin,single,secondary,2992,3,oct,3943,7,28,4,unknown,no
24,management,divorced,secondary,51076,13,jul,4745,3,17,9,failure,no
33,student,divorced,secondary,21354,10,dec,4604,6,27,7,failure,no
77,student,married,tertiary,1312,23,jun,4561,2,20,3,unknown,no
19,blue-collar,married,secondary,43833,2,jun,2412,7,18,2,unknown,no
18,student,divorced,primary,2318,12,jul,2589,1,4,0,failure,no
65,management,married,tertiary,97992,28,aug,1839,2,4,1,failure,yes
29,admin,divorced,secondary,64003,24,mar,1503,9,2,3,unknown,no
86,blue-collar,single,tertiary,25192,28,mar,722,9,-1,8,unknown,no
54,student,married,secondary,98726,22,oct,841,7,17,0,success,yes
49,student,divorced,tertiary,87199,12,aug,2347,2,9,5,success,yes
26,management,divorced,secondary,94782,19,dec,2221,5,24,5,success,yes
36,retired,married,primary,35489,19,jul,645,4,5,9,unknown,yes
65,retired,married,secondary,38309,21,oct,23,2,0,2,unknown,yes
20,unemployed,single,tertiary,26273,3,may,3272,2,2,9,unknown,yes
37,student,divorced,tertiary,45553,6,apr,4826,8,4,8,success,no
41,admin,single,primary,27473,2,jun,6,5,3,9,failure,yes
71,blue-collar,single,tertiary,59410,24,sep,3701,8,28,2,failure,no
50,student,single,primary,11679,13,jun,3232,2,20,0,failure,yes
41,technician,married,tertiary,90981,27,aug,2925,2,19,1,unknown,yes
92,blue-collar,single,tertiary,43310,28,jan,1271,3,7,3,failure,yes
89,unemployed,married,primary,81406,27,dec,4261,8,9,3,failure,no
53,retired,married,tertiary,58683,9,jun,4523,8,26,1,unknown,yes
55,student,single,tertiary,23992,13,feb,2192,3,27,9,unknown,yes
42,management,single,primary,27433,23,mar,2556,1,16,5,unknown,yes
35,technician,divorced,secondary,74574,14,jun,2954,7,18,5,unknown,yes
83,student,single,primary,23933,19,feb,1599,4,15,2,unknown,yes
71,unemployed,divorced,tertiary,43020,11,apr,1666,3,26,0,success,yes
52,admin,single,secondary,27236,14,jun,4919,5,11,9,unknown,no
78,technician,single,secondary,56735,16,may,1061,6,21,8,failure,yes
58,unemployed,single,secondary,7770,10,jun,4661,1,15,3,failure,yes
50,student,single,primary,67285,20,jun,3801,9,20,8,success,yes
85,admin,divorced,secondary,33271,16,aug,1163,6,24,4,unknown,yes
50,technician,divorced,secondary,71391,28,sep,3879,3,8,6,failure,yes
31,admin,single,secondary,21439,26,may,1281,1,27,2,failure,no
38,admin,single,tertiary,93826,2,jun,2664,9,23,2,unknown,yes
65,technician,divorced,primary,9101,25,jun,2895,2,16,7,success,no
37,technician,married,primary,90776,16,jun,1208,6,15,0,unknown,no
25,admin,married,tertiary,80319,14,feb,302,6,10,7,unknown,yes
24,unemployed,married,secondary,42917,21,apr,755,3,13,7,unknown,yes
84,retired,divorced,tertiary,90345,28,jan,4259,6,25,2,unknown,yes
34,technician,divorced,tertiary,81459,18,dec,1226,2,25,0,unknown,no
50,student,married,secondary,78562,26,jan,1233,8,25,8,success,no
65,blue-collar,married,secondary,39196,6,jan,3517,1,24,3,failure,yes
93,management,single,primary,21569,7,jul,897,6,27,6,unknown,yes
76,admin,divorced,secondary,39887,13,jan,4878,1,17,8,failure,no
39,admin,divorced,tertiary,18893,2,jun,3310,9,20,2,failure,no
47,management,married,tertiary,85971,15,feb,4822,9,13,4,unknown,no
55,retired,married,secondary,53304,17,jun,3362,6,11,9,failure,yes
68,management,divorced,primary,30399,13,jun,2419,6,5,2,unknown,yes
71,technician,single,tertiary,23236,7,dec,2909,9,9,4,unknown,yes
25,management,married,secondary,90735,1,nov,1454,5,6,1,unknown,no
44,admin,divorced,primary,83870,3,mar,2327,9,18,3,success,yes
44,management,divorced,primary,96753,20,aug,2363,5,14,1,unknown,yes
38,blue-collar,single,tertiary,47531,18,nov,2012,4,22,2,unknown,no
47,student,single,tertiary,78570,7,apr,1100,2,21,4,failure,yes
45,technician,married,primary,94621,21,jul,815,2,9,8,success,no
81,management,married,primary,7442,17,apr,4246,1,22,2,failure,yes
86,admin,married,primary,54437,28,jan,1320,3,3,9,failure,yes
78,unemployed,divorced,secondary,58342,12,jun,4764,1,24,5,unknown,yes
65,student,married,tertiary,76179,16,may,4502,6,5,3,success,yes
36,technician,divorced,primary,33069,24,sep,2334,7,14,3,success,yes
21,admin,married,tertiary,71246,10,sep,4587,9,28,9,unknown,yes
52,retired,single,tertiary,36560,23,dec,1032,7,14,9,success,yes
81,blue-collar,single,tertiary,56070,16,nov,1155,4,18,4,unknown,no
66,retired,divorced,primary,40427,20,aug,1100,4,27,6,success,no
34,blue-collar,single,secondary,58496,18,jul,2785,8,15,3,success,yes
61,management,divorced,primary,62557,15,feb,996,4,17,7,unknown,no
47,technician,divorced,tertiary,70752,23,aug,1435,1,26,8,success,no
63,management,single,primary,75248,11,mar,2545,9,24,8,success,yes
23,blue-collar,divorced,primary,68441,18,jun,3700,3,13,8,success,no
54,blue-collar,single,tertiary,46534,6,oct,4984,1,23,1,failure,yes
41,blue-collar,married,tertiary,25930,1,jul,353,9,13,2,unknown,yes
63,student,married,primary,94728,30,dec,2318,5,25,4,failure,no
70,admin,single,primary,87042,23,jun,4527,9,18,0,success,yes
77,technician,single,primary,5288,7,may,738,3,28,3,success,no
80,management,single,primary,93547,12,apr,2519,6,19,4,failure,no
49,management,single,secondary,79122,20,feb,4603,7,13,8,success,no
50,retired,married,primary,59518,4,sep,54,5,1,7,success,no
84,blue-collar,divorced,secondary,30400,10,jul,2084,8,10,0,unknown,no
35,unemployed,divorced,tertiary,-433,21,jul,899,6,25,2,success,no
42,blue-collar,married,secondary,45878,2,apr,2102,6,4,2,unknown,no
71,blue-collar,divorced,tertiary,46850,9,may,523,7,18,5,unknown,no
75,unemployed,married,secondary,-906,10,jun,462,8,3,3,failure,yes
84,management,divorced,tertiary,9135,20,dec,4792,2,9,3,failure,yes
63,retired,single,primary,77044,11,nov,1501,7,21,0,success,no
41,admin,single,secondary,43113,25,dec,3876,9,10,9,failure,no
49,unemployed,single,secondary,56791,14,feb,715,1,5,3,unknown,no
64,student,married,tertiary,7684,3,apr,3297,1,7,0,failure,yes
40,technician,married,tertiary,90783,25,apr,2779,7,16,4,unknown,no
83,unemployed,divorced,secondary,69727,1,dec,3611,5,12,2,failure,no
44,admin,divorced,tertiary,81378,7,apr,988,1,2,9,success,no
19,management,divorced,primary,56552,4,jul,1828,1,29,4,failure,no
34,student,married,secondary,6046,7,jul,211,2,6,2,success,no
50,student,divorced,primary,2934,16,jul,3146,9,14,4,failure,no
26,student,single,secondary,57556,30,jul,753,3,2,3,unknown,no
60,blue-collar,divorced,primary,44806,10,feb,3750,9,26,8,failure,yes
65,technician,single,secondary,-646,15,may,3689,6,17,5,failure,no
56,management,married,tertiary,93352,16,oct,3222,6,28,9,unknown,yes
59,management,single,secondary,51046,6,feb,435,7,24,1,unknown,no
43,student,single,primary,63064,4,may,1901,8,4,0,failure,yes
67,management,single,secondary,55184,4,dec,4179,3,17,0,unknown,no
42,technician,married,primary,963,24,jun,1235,8,13,0,unknown,yes
41,technician,married,primary,25424,23,mar,778,6,10,8,failure,yes
30,retired,married,primary,78039,4,jun,4929,6,28,4,success,no
77,unemployed,married,tertiary,1042,27,may,3852,3,10,3,failure,yes
24,unemployed,divorced,secondary,93777,22,apr,1960,6,0,9,failure,no
74,retired,married,primary,5139,22,oct,4272,8,7,4,success,no
53,admin,single,tertiary,9226,17,sep,1806,7,1,8,failure,no
62,unemployed,married,primary,78298,13,nov,3230,7,-1,2,failure,yes
37,technician,divorced,secondary,81652,2,aug,1724,3,12,2,unknown,yes
82,technician,divorced,tertiary,36108,20,dec,185,3,26,1,failure,yes
25,unemployed,divorced,primary,68647,6,jul,1494,5,29,7,success,no
33,technician,single,primary,66617,22,nov,1979,5,29,6,success,no
31,retired,married,primary,27815,1,jan,4053,9,26,1,unknown,yes
93,student,married,secondary,5802,8,sep,245,9,11,3,failure,no
32,student,married,tertiary,40230,18,sep,4047,5,27,6,failure,no
83,management,single,tertiary,61372,29,jun,383,5,23,0,failure,yes
49,student,single,tertiary,52020,21,jul,284,6,3,0,failure,no
80,blue-collar,divorced,primary,81449,4,mar,3994,8,5,7,success,no
68,retired,divorced,tertiary,15465,5,may,299,6,12,5,success,yes
42,technician,married,primary,5994,5,jul,900,6,14,1,unknown,yes
75,unemployed,single,secondary,1531,15,jan,1459,9,16,9,failure,yes
80,student,single,tertiary,7343,10,dec,2921,1,12,9,success,no
79,retired,married,primary,57066,8,jan,2533,4,-1,0,failure,no
39,student,married,tertiary,97020,26,may,805,2,4,2,success,no
75,admin,divorced,tertiary,4229,7,sep,2228,9,27,3,success,yes
75,technician,divorced,secondary,92311,12,jul,1921,3,19,4,unknown,no
66,admin,divorced,tertiary,90302,30,jan,4972,2,8,9,failure,yes
69,technician,married,secondary,80124,25,dec,4789,8,4,2,unknown,no
59,retired,married,tertiary,86704,28,may,2387,4,0,4,unknown,no
87,management,divorced,tertiary,42789,11,aug,2538,2,5,6,unknown,no
32,student,divorced,tertiary,42069,13,aug,1996,4,15,8,unknown,no
71,student,single,tertiary,85402,15,dec,4825,7,25,4,unknown,no
77,blue-collar,single,tertiary,7524,17,feb,2503,7,22,3,unknown,no
25,unemployed,divorced,tertiary,86074,22,jul,104,1,12,9,unknown,no
70,admin,divorced,secondary,84762,22,oct,438,1,21,8,failure,yes
77,student,single,secondary,61103,18,may,1521,3,5,7,unknown,no
22,retired,divorced,primary,6103,27,sep,1351,2,20,4,failure,yes
85,management,single,tertiary,56581,8,mar,2698,3,24,8,failure,no
23,unemployed,single,secondary,81938,6,jan,3612,4,19,8,success,yes
64,retired,single,tertiary,52203,11,apr,508,7,7,0,unknown,yes
72,admin,married,tertiary,13090,29,jul,4346,2,17,5,failure,yes
57,blue-collar,married,secondary,13915,26,jan,4974,7,28,4,success,no
69,student,divorced,tertiary,39477,9,feb,1274,5,23,5,success,yes
33,retired,single,secondary,54987,26,may,2822,8,19,9,unknown,yes
30,unemployed,married,secondary,97742,5,sep,63,8,22,2,unknown,yes
47,technician,divorced,primary,51238,7,jan,3921,5,9,2,unknown,no
36,management,divorced,primary,85047,22,dec,4415,8,1,9,unknown,yes
34,unemployed,divorced,primary,13029,27,apr,859,9,21,4,failure,yes
80,retired,divorced,primary,94367,15,dec,2827,7,24,6,failure,yes
36,management,divorced,tertiary,87067,21,mar,1547,6,2,3,unknown,yes
75,student,single,tertiary,51520,22,may,2076,7,3,5,unknown,no
72,technician,divorced,primary,68053,4,may,436,7,2,4,failure,yes
79,blue-collar,single,secondary,49464,19,oct,3657,3,11,1,unknown,yes
40,unemployed,married,secondary,19961,13,feb,762,6,7,0,success,yes
26,blue-collar,divorced,secondary,24835,1,may,735,6,26,5,failure,yes
29,technician,married,secondary,25725,1,sep,3664,9,21,4,success,yes
18,management,single,tertiary,23357,22,may,4094,1,12,8,success,no
75,student,single,secondary,-756,14,nov,4728,7,14,6,success,yes
18,retired,married,secondary,65952,9,oct,1578,1,29,0,success,no
51,technician,divorced,primary,46061,24,feb,3729,4,29,9,unknown,yes
65,admin,divorced,secondary,4490,12,jul,1076,7,20,5,unknown,yes
18,management,married,tertiary,75219,18,jun,2280,6,4,6,unknown,no
33,blue-collar,married,secondary,3839,9,jul,1830,6,25,2,unknown,no
78,unemployed,married,secondary,22992,8,aug,1898,5,8,8,failure,no
81,technician,divorced,tertiary,42938,30,oct,4295,7,21,1,unknown,yes
80,blue-collar,divorced,primary,54249,14,may,673,9,19,0,failure,no
86,management,divorced,tertiary,42735,28,feb,548,6,24,9,success,no
39,blue-collar,married,primary,48734,9,jul,936,7,11,9,failure,yes
84,technician,divorced,secondary,45080,20,jul,4144,9,28,8,unknown,yes
93,management,single,primary,72460,25,aug,895,7,1,6,success,yes
43,admin,married,primary,79457,2,jul,2569,6,25,9,success,yes
33,technician,divorced,primary,22260,29,oct,2087,3,9,0,unknown,no
68,retired,married,secondary,57607,1,jul,913,1,1,3,success,no
74,student,single,primary,59852,13,sep,1176,9,5,9,success,no
46,technician,single,primary,26380,25,aug,4771,7,25,2,success,yes
86,management,married,secondary,82347,10,feb,4865,3,28,6,failure,yes
64,unemployed,married,tertiary,69257,8,feb,4306,9,8,4,success,yes
79,student,single,tertiary,39191,7,jul,3273,3,-1,8,success,yes
86,technician,married,tertiary,2930,30,oct,4242,3,2,2,failure,no
93,admin,single,secondary,2353,29,nov,1522,7,24,5,unknown,no
33,unemployed,single,secondary,5832,24,oct,2802,2,28,9,failure,yes
65,admin,divorced,tertiary,47554,12,mar,3122,7,6,1,failure,yes
56,retired,married,primary,86487,17,jan,4590,7,18,2,unknown,yes
50,unemployed,married,tertiary,52017,30,sep,2456,1,15,3,unknown,yes
40,blue-collar,divorced,secondary,55298,25,mar,1649,2,3,5,failure,no
27,unemployed,single,primary,49389,12,jan,2320,5,29,0,success,yes
86,student,married,primary,71306,16,jun,2505,4,15,5,unknown,no
